試行回数	ノード	ノード間距離
609	808	0.0
610	496	0.0
611	261	0.0
612	517	0.0
613	636	0.0
614	754	0.0
615	602	0.0
616	411	0.0
617	540	0.0
618	495	0.0
619	599	0.0
620	674	0.0
621	537	0.0
622	1123	0.0
623	575	0.0
624	591	0.0
625	640	0.0
626	531	0.0
627	611	0.0
628	553	0.0
629	165	0.0
630	442	0.0
631	930	0.0
632	791	0.0
633	760	0.0
634	898	0.0
635	582	0.0
636	501	0.0
637	538	0.0
638	596	0.0
639	702	0.0
640	444	0.0
641	307	0.0
642	815	0.0
643	58	0.0
644	844	0.0
645	818	0.0
646	629	0.0
647	1014	0.0
648	682	0.0
649	368	0.0
650	618	0.0
651	782	0.0
652	523	0.0
653	637	0.0
654	482	0.0
655	431	0.0
656	907	0.0
657	849	0.0
658	585	0.0
659	914	0.0
660	741	0.0
661	858	0.0
662	390	0.0
663	544	0.0
664	603	0.0
665	468	0.0
666	580	0.0
667	783	0.0
668	806	0.0
669	643	0.0
670	455	0.0
671	739	0.0
672	767	0.0
673	438	0.0
674	583	0.0
675	809	0.0
676	620	0.0
677	819	0.0
678	567	0.0
679	759	0.0
680	581	0.0
681	650	0.0
682	549	0.0
683	687	0.0
684	1158	0.0
685	864	0.0
686	569	0.0
687	302	0.0
688	561	0.0
689	662	0.0
690	527	0.0
691	845	0.0
692	462	0.0
693	960	0.0
694	919	0.0
695	747	0.0
696	601	0.0
697	539	0.0
698	576	0.0
699	987	0.0
700	707	0.0
701	742	0.0
702	728	0.0
703	748	0.0
704	489	0.0
705	811	0.0
706	899	0.0
707	970	0.0
708	525	0.0
709	661	0.0
710	984	0.0
711	797	0.0
712	839	0.0
713	746	0.0
714	880	0.0
715	817	0.0
716	672	0.0
717	1114	0.0
718	547	0.0
719	584	0.0
720	732	0.0
721	946	0.0
722	977	0.0
723	653	0.0
724	925	0.0
725	737	0.0
726	1023	0.0
727	743	0.0
728	1041	0.0
729	666	0.0
730	700	0.0
731	638	0.0
732	805	0.0
733	545	0.0
734	786	0.0
735	749	0.0
736	921	0.0
737	1032	0.0
738	516	0.0
739	625	0.0
740	965	0.0
741	708	0.0
742	842	0.0
743	851	0.0
744	793	0.0
745	701	0.0
746	598	0.0
747	617	0.0
748	813	0.0
749	572	0.0
750	734	0.0
751	502	0.0
752	518	0.0
753	735	0.0
754	1002	0.0
755	794	0.0
756	587	0.0
757	850	0.0
758	834	0.0
759	877	0.0
